Gene_name,GSM1342279,GSM1342280,GSM1342281,GSM1342282,GSM1342283
C14orf2,-0.28830147,-0.29312325,0.05105877,-0.059990883,0.018112183
GLT8D1,0.17022991,-0.1904583,0.02366972,-0.016117096,0.062145233
ANK2,-0.048781395,-0.22975302,-0.09509611,-0.10515976,-0.2058773
HTR7,-0.47182274,-0.3696432,0.36971617,0.5512161,0.33314514
RFXAP,0.20671654,0.11634064,0.14742374,0.23014069,-0.106264114
RPS6KA3,-0.39198112,-0.39278507,0.4898243,0.2813015,0.39826298
LOC646871,-0.07938576,0.10110903,-0.28471565,-0.025633812,-0.105805874
LOC389786,0.035577774,0.06344366,-0.11989784,0.00054,-0.13047552
LOC642257,0.10175848,-0.038076878,-0.15825558,0.050143242,-0.021413326
LOC644631,0.41598654,0.07991743,0.045949936,-0.07105923,-0.06619501
ERF,0.048615932,0.20579147,0.22746468,0.45903492,0.26491642
PAAF1,0.537796,0.46282673,-0.5340586,-0.4017887,-0.3647318
ZNF428,-0.1431408,-0.19276905,0.67313576,0.29699707,0.57618713
LOC643878,0.028366089,0.065405846,0.0277915,0.09040785,0.10848141
LOC647579,-0.050914288,0.08139086,0.08077335,0.12425995,0.3349614
LOC653203,-0.015360832,0.012175083,-0.04076624,-0.094958305,0.10160065
LOC440589,0.1169281,0.013095856,0.013095856,-0.15085602,0.32780457
CDC42EP2,-0.15335655,-0.20786238,0.591939,1.1454706,0.8432522
TMOD2,0.09167719,-0.11321163,-0.07425928,0.07631445,-0.2604108
MUCDHL,0.320199,0.14163446,-0.15578127,-0.020947456,-0.013353825
LOC338805,-0.06996298,-0.12910366,-0.071205616,0.052298546,-0.27548456
PIK3AP1,-0.6300025,-0.6206522,-0.47175217,-0.9028635,-0.9091606
CLK1,-0.5331445,-0.34843922,-0.337955,-0.39069128,-0.22278643
LOC441873,-0.10662842,0.3082943,0.015469074,-0.15606785,0.17603827
ATP5J,-1.1720219,-1.3875837,-0.21699238,-0.26221943,0.094958305
